id,state,emptot_feb92,emptot_nov92,chain,pct_fte,wage_st,hrsopen
46,Pennsylvania,40.5,24,bk,74.0740740740741,NA,16.5
46,Pennsylvania,40.5,24,bk,14.5833333333333,4.3,16.5
49,Pennsylvania,13.75,11.5,kfc,47.2727272727273,NA,13
49,Pennsylvania,13.75,11.5,kfc,0,4.45,13
506,Pennsylvania,8.5,10.5,kfc,35.2941176470588,NA,10
506,Pennsylvania,8.5,10.5,kfc,28.5714285714286,5,11
56,Pennsylvania,34,20,wendys,58.8235294117647,5,12
56,Pennsylvania,34,20,wendys,0,5.25,12
61,Pennsylvania,24,35.5,wendys,25,5.5,12
61,Pennsylvania,24,35.5,wendys,78.8732394366197,4.75,12
62,Pennsylvania,20.5,NA,wendys,0,5,12
62,Pennsylvania,20.5,NA,wendys,NA,NA,12
445,Pennsylvania,70.5,29,bk,70.9219858156028,5,18
445,Pennsylvania,70.5,29,bk,51.7241379310345,4.75,18
451,Pennsylvania,23.5,36.5,bk,42.5531914893617,5,24
451,Pennsylvania,23.5,36.5,bk,71.2328767123288,5,24
455,Pennsylvania,11,11,kfc,18.1818181818182,5.25,10
455,Pennsylvania,11,11,kfc,27.2727272727273,5,11
458,Pennsylvania,9,8.5,kfc,22.2222222222222,5,10
458,Pennsylvania,9,8.5,kfc,23.5294117647059,5,10.5
462,Pennsylvania,15.5,17.5,roys,16.1290322580645,5,12.5
462,Pennsylvania,15.5,17.5,roys,5.71428571428571,4.75,12
468,Pennsylvania,58,29,bk,68.9655172413793,5,18
468,Pennsylvania,58,29,bk,31.0344827586207,5,18
469,Pennsylvania,26.5,30.5,bk,30.188679245283,5,18
469,Pennsylvania,26.5,30.5,bk,22.9508196721311,4.5,18
470,Pennsylvania,28.5,26,bk,36.8421052631579,5.5,18
470,Pennsylvania,28.5,26,bk,69.2307692307692,4.75,18
474,Pennsylvania,13.5,18,bk,44.4444444444444,5,12.5
474,Pennsylvania,13.5,18,bk,27.7777777777778,4.5,13
481,Pennsylvania,16.75,20,kfc,29.8507462686567,5.25,10
481,Pennsylvania,16.75,20,kfc,75,5,11
483,Pennsylvania,9.5,13.5,kfc,10.5263157894737,5,10
483,Pennsylvania,9.5,13.5,kfc,29.6296296296296,4.75,11
